"","date","positive","negative","neutral"
"1","2021-01-01",4,13,27
"2","2021-01-02",0,7,3
"3","2021-01-03",0,17,21
"4","2021-01-04",5,7,11
"5","2021-01-05",2,1,8
"6","2021-01-06",1,25,12
"7","2021-01-07",0,3,4
"8","2021-01-08",1,2,2
"9","2021-01-09",0,7,3
"10","2021-01-10",0,1,0
"11","2021-01-11",0,0,1
"12","2021-01-12",0,1,1
"13","2021-01-13",0,1,4
"14","2021-01-14",2,1,1
"15","2021-01-15",0,0,4
"16","2021-01-17",0,3,3
"17","2021-01-18",1,0,9
"18","2021-01-19",2,0,6
"19","2021-01-20",2,3,1
"20","2021-01-21",1,2,7
"21","2021-01-22",0,0,3
"22","2021-01-23",0,3,3
"23","2021-01-24",1,2,2
"24","2021-01-25",0,1,4
"25","2021-01-26",1,3,3
"26","2021-01-27",2,3,23
"27","2021-01-28",0,34,21
"28","2021-01-29",2,29,32
"29","2021-01-30",11,44,77
"30","2021-01-31",4,23,28
"31","2021-02-01",3,20,9
"32","2021-02-02",0,8,26
"33","2021-02-03",9,10,28
"34","2021-02-04",18,24,108
"35","2021-02-05",27,92,305
"36","2021-02-06",10,37,113
"37","2021-02-07",0,7,40
"38","2021-02-08",23,179,498
"39","2021-02-09",24,133,348
"40","2021-02-10",94,88,278
"41","2021-02-11",36,37,177
"42","2021-02-12",5,18,41
"43","2021-02-13",2,7,19
"44","2021-02-14",1,7,43
"45","2021-02-15",0,5,19
"46","2021-02-16",33,7,98
"47","2021-02-17",9,49,115
"48","2021-02-18",7,34,116
"49","2021-02-19",21,40,120
"50","2021-02-20",101,385,911
"51","2021-02-21",223,1145,2140
"52","2021-02-22",123,601,1105
"53","2021-02-23",201,632,1437
"54","2021-02-24",98,302,675
"55","2021-02-25",71,313,524
"56","2021-02-26",59,402,480
"57","2021-02-27",53,97,256
"58","2021-02-28",6,40,175
"59","2021-03-01",16,47,61
"60","2021-03-02",46,52,267
"61","2021-03-03",197,822,1809
"62","2021-03-04",137,674,1374
"63","2021-03-05",103,475,731
"64","2021-03-06",39,263,443
"65","2021-03-07",27,110,170
"66","2021-03-08",11,103,188
"67","2021-03-09",19,86,173
"68","2021-03-10",34,152,423
"69","2021-03-11",26,99,265
"70","2021-03-12",538,2482,4515
"71","2021-03-13",228,1207,2016
"72","2021-03-14",162,949,1498
"73","2021-03-15",245,1394,2402
"74","2021-03-16",314,1733,3009
"75","2021-03-17",145,701,1417
"76","2021-03-18",98,462,1020
"77","2021-03-19",250,684,1741
"78","2021-03-20",121,428,1009
"79","2021-03-21",108,485,1049
"80","2021-03-22",943,2733,4421
"81","2021-03-23",549,1370,2307
"82","2021-03-24",244,894,1556
"83","2021-03-25",207,1311,1853
"84","2021-03-26",123,664,1040
"85","2021-03-27",74,460,534
"86","2021-03-28",19,276,380
"87","2021-03-29",54,386,659
"88","2021-03-30",64,338,645
"89","2021-03-31",87,363,855
"90","2021-04-01",52,194,370
"91","2021-04-02",19,120,222
"92","2021-04-03",22,123,308
"93","2021-04-04",17,113,309
"94","2021-04-05",13,127,143
"95","2021-04-06",45,201,472
"96","2021-04-07",95,435,1060
"97","2021-04-08",107,937,1856
"98","2021-04-09",106,604,1069
"99","2021-04-10",57,421,715
"100","2021-04-11",77,304,702
"101","2021-04-12",285,274,1101
"102","2021-04-13",185,555,968
"103","2021-04-14",92,456,1166
"104","2021-04-15",125,648,1188
"105","2021-04-16",112,564,1129
"106","2021-04-17",85,361,627
"107","2021-04-18",144,775,1091
"108","2021-04-19",236,790,1475
"109","2021-04-20",108,416,700
"110","2021-04-21",187,307,964
"111","2021-04-22",63,248,585
"112","2021-04-23",33,218,366
"113","2021-04-24",54,191,294
"114","2021-04-25",54,186,393
"115","2021-04-26",44,224,282
"116","2021-04-27",40,183,276
"117","2021-04-28",46,205,342
"118","2021-04-29",30,176,270
"119","2021-04-30",20,73,109
"120","2021-05-01",9,92,109
"121","2021-05-02",53,200,262
"122","2021-05-03",47,275,396
"123","2021-05-04",60,445,822
"124","2021-05-05",85,247,626
"125","2021-05-06",140,251,818
"126","2021-05-07",92,259,454
"127","2021-05-08",74,185,622
"128","2021-05-09",30,116,326
"129","2021-05-10",79,246,554
"130","2021-05-11",111,504,767
"131","2021-05-12",123,476,878
"132","2021-05-13",196,565,1104
"133","2021-05-14",172,577,1002
"134","2021-05-15",262,771,1335
"135","2021-05-16",135,534,920
"136","2021-05-17",81,447,755
"137","2021-05-18",115,620,976
"138","2021-05-19",267,1414,2004
"139","2021-05-20",162,950,1308
"140","2021-05-21",213,1374,1676
"141","2021-05-22",124,1028,955
"142","2021-05-23",119,583,601
"143","2021-05-24",105,601,729
"144","2021-05-25",121,861,1145
"145","2021-05-26",212,2016,2376
"146","2021-05-27",483,2811,3903
"147","2021-05-28",719,4036,6444
"148","2021-05-29",391,2478,3354
"149","2021-05-30",484,2682,3013
"150","2021-05-31",316,2187,2838
"151","2021-06-01",302,1934,2365
"152","2021-06-02",459,2822,4513
"153","2021-06-03",896,4813,8526
"154","2021-06-04",1396,7023,11104
