"","date","positive","negative","neutral"
"1","2021/01/01",1,2,2
"2","2021/01/02",0,0,12
"3","2021/01/03",2,11,48
"4","2021/01/04",1,9,1
"5","2021/01/05",12,8,33
"6","2021/01/06",0,13,20
"7","2021/01/07",6,3,23
"8","2021/01/08",12,2,26
"9","2021/01/09",2,2,5
"10","2021/01/10",0,0,2
"11","2021/01/11",1,0,11
"12","2021/01/12",6,0,32
"13","2021/01/13",9,8,12
"14","2021/01/14",2,1,21
"15","2021/01/15",1,0,9
"16","2021/01/16",0,1,27
"17","2021/01/17",0,1,5
"18","2021/01/18",0,1,15
"19","2021/01/19",8,2,24
"20","2021/01/20",6,2,15
"21","2021/01/21",6,2,4
"22","2021/01/22",1,8,2
"23","2021/01/23",0,6,18
"24","2021/01/24",0,9,3
"25","2021/01/25",1,15,18
"26","2021/01/26",0,11,17
"27","2021/01/27",0,1,14
"28","2021/01/28",2,3,16
"29","2021/01/29",2,10,22
"30","2021/01/30",0,2,23
"31","2021/01/31",0,24,17
"32","2021/02/01",7,21,32
"33","2021/02/02",0,17,26
"34","2021/02/03",1,28,43
"35","2021/02/04",3,26,28
"36","2021/02/05",6,15,64
"37","2021/02/06",0,1,12
"38","2021/02/07",0,0,2
"39","2021/02/08",19,2,27
"40","2021/02/09",16,1,55
"41","2021/02/10",60,17,93
"42","2021/02/11",10,4,49
"43","2021/02/12",0,2,2
"44","2021/02/14",0,0,19
"45","2021/02/15",1,3,22
"46","2021/02/16",14,0,22
"47","2021/02/17",24,164,178
"48","2021/02/18",40,198,330
"49","2021/02/19",31,145,276
"50","2021/02/20",8,93,134
"51","2021/02/21",51,132,270
"52","2021/02/22",25,111,355
"53","2021/02/23",48,128,400
"54","2021/02/24",28,119,218
"55","2021/02/25",47,71,200
"56","2021/02/26",7,104,159
"57","2021/02/27",12,33,98
"58","2021/02/28",1,5,42
"59","2021/03/01",2,9,28
"60","2021/03/02",15,38,185
"61","2021/03/03",12,64,197
"62","2021/03/04",14,32,174
"63","2021/03/05",5,11,38
"64","2021/03/06",4,43,81
"65","2021/03/07",4,10,26
"66","2021/03/08",4,18,48
"67","2021/03/09",26,4,40
"68","2021/03/10",3,34,53
"69","2021/03/11",0,5,28
"70","2021/03/12",1,9,47
"71","2021/03/13",0,34,31
"72","2021/03/14",0,17,80
"73","2021/03/15",2,16,56
"74","2021/03/16",8,28,41
"75","2021/03/17",1,37,66
"76","2021/03/18",1,16,19
"77","2021/03/19",17,16,20
"78","2021/03/20",0,19,57
"79","2021/03/21",1,4,12
"80","2021/03/22",13,41,49
"81","2021/03/23",0,41,28
"82","2021/03/24",13,69,58
"83","2021/03/25",3,25,23
"84","2021/03/26",3,20,20
"85","2021/03/27",1,17,6
"86","2021/03/28",0,9,7
"87","2021/03/29",12,61,105
"88","2021/03/30",1,45,52
"89","2021/03/31",12,31,62
"90","2021/04/01",13,54,54
"91","2021/04/02",1,12,14
"92","2021/04/03",4,10,18
"93","2021/04/04",1,9,18
"94","2021/04/05",0,19,10
"95","2021/04/06",5,6,10
"96","2021/04/07",4,29,64
"97","2021/04/08",1,43,67
"98","2021/04/09",7,25,20
"99","2021/04/10",2,10,22
"100","2021/04/11",3,26,28
"101","2021/04/12",4,39,29
"102","2021/04/13",10,9,27
"103","2021/04/14",3,25,17
"104","2021/04/15",9,27,33
"105","2021/04/16",11,12,65
"106","2021/04/17",6,21,51
"107","2021/04/18",1,8,23
"108","2021/04/19",3,19,35
"109","2021/04/20",2,8,4
"110","2021/04/21",24,10,29
"111","2021/04/22",3,38,75
"112","2021/04/23",0,13,31
"113","2021/04/24",0,12,9
"114","2021/04/25",4,29,33
"115","2021/04/26",16,15,18
"116","2021/04/27",9,13,6
"117","2021/04/28",18,2,33
"118","2021/04/29",17,12,9
"119","2021/04/30",13,3,5
"120","2021/05/01",4,8,7
"121","2021/05/02",0,5,8
"122","2021/05/03",9,22,31
"123","2021/05/04",10,49,44
"124","2021/05/05",3,3,30
"125","2021/05/06",15,10,34
"126","2021/05/07",2,14,32
"127","2021/05/08",5,8,14
"128","2021/05/09",1,6,10
"129","2021/05/10",2,15,24
"130","2021/05/11",22,50,55
"131","2021/05/12",10,27,80
"132","2021/05/13",16,34,55
"133","2021/05/14",3,25,78
"134","2021/05/15",1,34,46
"135","2021/05/16",7,63,64
"136","2021/05/17",7,81,102
"137","2021/05/18",18,58,74
"138","2021/05/19",10,91,87
"139","2021/05/20",16,109,77
"140","2021/05/21",16,149,118
"141","2021/05/22",30,209,237
"142","2021/05/23",58,405,439
"143","2021/05/24",34,355,289
"144","2021/05/25",90,579,649
"145","2021/05/26",155,1433,1650
"146","2021/05/27",260,3388,2867
"147","2021/05/28",461,3916,3815
"148","2021/05/29",185,1744,1835
"149","2021/05/30",146,2140,1817
"150","2021/05/31",112,1315,1383
"151","2021/06/01",196,1311,1474
"152","2021/06/02",156,1156,1181
"153","2021/06/03",172,1405,1544
"154","2021/06/04",125,1097,1248
"155","2021/06/05",94,1201,1037
"156","2021/06/06",95,687,649
"157","2021/06/07",60,534,627
"158","2021/06/08",91,728,803
"159","2021/06/09",60,593,736
"160","2021/06/10",170,937,1317
"161","2021/06/11",165,1077,1354
"162","2021/06/12",185,1258,1250
"163","2021/06/13",198,1563,1743
"164","2021/06/14",119,931,978
"165","2021/06/15",89,601,753
"166","2021/06/16",167,1149,1228
"167","2021/06/17",176,1169,1474
"168","2021/06/18",265,1750,2150
"169","2021/06/19",143,1283,1273
"170","2021/06/20",145,1013,1047
"171","2021/06/21",136,735,1058
"172","2021/06/22",64,567,802
"173","2021/06/23",114,641,1023
"174","2021/06/24",100,680,927
"175","2021/06/25",145,616,879
"176","2021/06/26",157,673,744
"177","2021/06/27",98,508,721
"178","2021/06/28",87,584,744
"179","2021/06/29",152,549,869
"180","2021/06/30",105,530,659
"181","2021/07/01",111,414,508
"182","2021/07/02",44,270,372
"183","2021/07/03",131,495,678
"184","2021/07/04",54,594,538
"185","2021/07/05",121,632,803
"186","2021/07/06",206,863,1047
"187","2021/07/07",86,682,871
"188","2021/07/08",144,778,1115
"189","2021/07/09",140,699,1037
"190","2021/07/10",99,612,732
"191","2021/07/11",263,1281,2286
"192","2021/07/12",983,3880,5613
"193","2021/07/13",849,3882,5191
"194","2021/07/14",502,3114,3890
"195","2021/07/15",533,2639,3769
"196","2021/07/16",528,2229,3107
"197","2021/07/17",384,1974,2726
"198","2021/07/18",339,1935,2508
"199","2021/07/19",249,1106,1642
"200","2021/07/20",189,887,1153
"201","2021/07/21",438,1579,3230
"202","2021/07/22",336,1401,2266
"203","2021/07/23",433,1185,1511
"204","2021/07/24",87,455,561
"205","2021/07/25",107,588,814
"206","2021/07/26",252,1253,2205
"207","2021/07/27",178,909,1553
"208","2021/07/28",203,993,1588
"209","2021/07/29",220,871,1388
"210","2021/07/30",135,713,1114
"211","2021/07/31",194,499,603
"212","2021/08/01",57,257,269
"213","2021/08/02",42,291,441
"214","2021/08/03",263,863,1638
"215","2021/08/04",344,2382,3202
"216","2021/08/05",180,968,1319
"217","2021/08/06",339,1576,2720
"218","2021/08/07",160,1522,1867
"219","2021/08/08",134,602,945
"220","2021/08/09",104,722,1014
"221","2021/08/10",197,1063,1626
"222","2021/08/11",191,898,1327
"223","2021/08/12",92,557,811
"224","2021/08/13",180,893,1595
"225","2021/08/14",230,894,1634
"226","2021/08/15",71,462,628
"227","2021/08/16",266,622,1159
"228","2021/08/17",142,448,1170
"229","2021/08/18",204,674,1623
"230","2021/08/19",196,751,1493
"231","2021/08/20",155,687,1207
"232","2021/08/21",181,482,960
"233","2021/08/22",124,337,790
"234","2021/08/23",174,491,867
"235","2021/08/24",225,908,1310
"236","2021/08/25",413,1886,2891
"237","2021/08/26",702,3461,5288
"238","2021/08/27",889,4592,8243
"239","2021/08/28",1579,7565,14450
"240","2021/08/29",1680,7863,12997
"241","2021/08/30",1489,6332,10168
"242","2021/08/31",1266,6216,11100
"243","2021/09/01",1150,7175,9825
"244","2021/09/02",1195,5460,8750
"245","2021/09/03",601,3192,5060
