"","date","positive","negative","neutral"
"1","2021-01-01",15,10,29
"2","2021-01-02",11,7,25
"3","2021-01-03",20,9,45
"4","2021-01-04",43,10,55
"5","2021-01-05",47,12,61
"6","2021-01-06",75,7,94
"7","2021-01-07",59,18,54
"8","2021-01-08",27,8,68
"9","2021-01-09",20,8,32
"10","2021-01-10",10,4,32
"11","2021-01-11",21,4,70
"12","2021-01-12",50,14,76
"13","2021-01-13",51,6,62
"14","2021-01-14",36,8,46
"15","2021-01-15",53,8,60
"16","2021-01-16",14,4,20
"17","2021-01-17",10,7,23
"18","2021-01-18",44,7,54
"19","2021-01-19",21,3,85
"20","2021-01-20",14,12,54
"21","2021-01-21",29,5,46
"22","2021-01-22",66,3,56
"23","2021-01-23",20,8,35
"24","2021-01-24",9,1,28
"25","2021-01-25",78,35,69
"26","2021-01-26",26,23,99
"27","2021-01-27",21,14,66
"28","2021-01-28",40,38,90
"29","2021-01-29",25,32,127
"30","2021-01-30",14,9,37
"31","2021-01-31",21,10,21
"32","2021-02-01",35,9,87
"33","2021-02-02",24,5,68
"34","2021-02-03",46,17,87
"35","2021-02-04",79,32,170
"36","2021-02-05",95,35,111
"37","2021-02-06",48,9,52
"38","2021-02-07",41,51,130
"39","2021-02-08",67,15,70
"40","2021-02-09",32,10,97
"41","2021-02-10",26,16,88
"42","2021-02-11",20,6,38
"43","2021-02-12",6,7,24
"44","2021-02-13",1,3,9
"45","2021-02-14",10,3,11
"46","2021-02-15",2,2,19
"47","2021-02-16",10,2,28
"48","2021-02-17",77,8,29
"49","2021-02-18",68,13,78
"50","2021-02-19",57,11,107
"51","2021-02-20",44,3,58
"52","2021-02-21",27,4,38
"53","2021-02-22",97,19,112
"54","2021-02-23",60,28,133
"55","2021-02-24",44,14,93
"56","2021-02-25",49,28,113
"57","2021-02-26",36,13,172
"58","2021-02-27",34,11,72
"59","2021-02-28",11,11,30
"60","2021-03-01",22,8,46
"61","2021-03-02",74,8,95
"62","2021-03-03",51,18,61
"63","2021-03-04",27,9,60
"64","2021-03-05",78,22,107
"65","2021-03-06",39,26,149
"66","2021-03-07",16,28,82
"67","2021-03-08",34,11,133
"68","2021-03-09",47,4,79
"69","2021-03-10",48,11,71
"70","2021-03-11",28,9,60
"71","2021-03-12",45,14,72
"72","2021-03-13",16,5,49
"73","2021-03-14",12,10,36
"74","2021-03-15",25,9,85
"75","2021-03-16",45,8,49
"76","2021-03-17",25,14,52
"77","2021-03-18",33,11,52
"78","2021-03-19",52,24,67
"79","2021-03-20",23,10,63
"80","2021-03-21",19,4,21
"81","2021-03-22",175,114,255
"82","2021-03-23",121,32,114
"83","2021-03-24",107,138,320
"84","2021-03-25",27,34,60
"85","2021-03-26",48,25,73
"86","2021-03-27",22,7,23
"87","2021-03-28",42,5,26
"88","2021-03-29",98,14,121
"89","2021-03-30",95,29,199
"90","2021-03-31",78,41,221
"91","2021-04-01",34,23,74
"92","2021-04-02",17,14,53
"93","2021-04-03",17,7,27
"94","2021-04-04",24,1,22
"95","2021-04-05",12,28,35
"96","2021-04-06",50,31,107
"97","2021-04-07",72,25,138
"98","2021-04-08",50,16,77
"99","2021-04-09",45,11,46
"100","2021-04-10",15,12,23
"101","2021-04-11",82,91,263
"102","2021-04-12",97,43,188
"103","2021-04-13",36,19,82
"104","2021-04-14",48,13,85
"105","2021-04-15",46,14,50
"106","2021-04-16",80,20,67
"107","2021-04-17",25,11,36
"108","2021-04-18",17,8,42
"109","2021-04-19",56,16,77
"110","2021-04-20",34,6,60
"111","2021-04-21",39,28,69
"112","2021-04-22",49,18,51
"113","2021-04-23",63,21,59
"114","2021-04-24",29,10,21
"115","2021-04-25",12,17,76
"116","2021-04-26",42,29,72
"117","2021-04-27",45,17,55
"118","2021-04-28",76,20,119
"119","2021-04-29",36,10,62
"120","2021-04-30",49,18,55
"121","2021-05-01",17,24,22
"122","2021-05-02",14,11,25
"123","2021-05-03",31,18,35
"124","2021-05-04",50,19,79
"125","2021-05-05",44,7,57
"126","2021-05-06",49,18,55
"127","2021-05-07",21,13,101
"128","2021-05-08",29,10,53
"129","2021-05-09",22,6,33
"130","2021-05-10",19,23,85
"131","2021-05-11",80,32,174
"132","2021-05-12",46,91,127
"133","2021-05-13",66,35,137
"134","2021-05-14",63,36,132
"135","2021-05-15",20,47,132
"136","2021-05-16",27,47,114
"137","2021-05-17",86,277,410
"138","2021-05-18",205,442,656
"139","2021-05-19",122,186,335
"140","2021-05-20",96,320,361
"141","2021-05-21",91,161,310
"142","2021-05-22",67,144,213
"143","2021-05-23",57,142,298
"144","2021-05-24",77,146,388
"145","2021-05-25",113,214,483
"146","2021-05-26",182,548,984
"147","2021-05-27",254,880,1339
"148","2021-05-28",374,1220,2357
"149","2021-05-29",647,2692,4181
"150","2021-05-30",1059,6429,8354
"151","2021-05-31",2140,10816,13494
"152","2021-06-01",2393,10649,12494
"153","2021-06-02",1589,7454,8311
"154","2021-06-03",1228,5256,5629
"155","2021-06-04",825,3975,4393
"156","2021-06-05",456,2555,2706
"157","2021-06-06",478,2191,2224
"158","2021-06-07",455,2016,2394
"159","2021-06-08",1195,5338,6708
"160","2021-06-09",2245,7813,11547
"161","2021-06-10",14450,32775,63258
"162","2021-06-11",8549,29631,40549
"163","2021-06-12",2897,12253,14586
"164","2021-06-13",1484,6404,7231
"165","2021-06-14",1520,6627,8517
"166","2021-06-15",2220,10108,13120
"167","2021-06-16",1296,6986,8945
"168","2021-06-17",1250,7543,8618
"169","2021-06-18",1169,6344,6846
"170","2021-06-19",690,3727,4300
"171","2021-06-20",1051,3612,4370
"172","2021-06-21",517,1976,2037
"173","2021-06-22",457,1805,1842
"174","2021-06-23",358,1492,1555
"175","2021-06-24",962,5823,6612
"176","2021-06-25",489,2820,3025
"177","2021-06-26",270,1790,1656
"178","2021-06-27",583,1839,2310
"179","2021-06-28",660,3236,4798
"180","2021-06-29",312,1509,1631
"181","2021-06-30",225,962,974
"182","2021-07-01",153,712,782
"183","2021-07-02",95,495,428
"184","2021-07-03",83,713,562
"185","2021-07-04",119,493,462
"186","2021-07-05",152,537,592
"187","2021-07-06",345,1211,1661
"188","2021-07-07",181,824,887
"189","2021-07-08",88,427,530
"190","2021-07-09",106,566,548
"191","2021-07-10",99,626,750
"192","2021-07-11",112,518,650
"193","2021-07-12",371,1354,1626
"194","2021-07-13",416,1982,2506
"195","2021-07-14",454,2433,3208
"196","2021-07-15",585,2549,3317
"197","2021-07-16",1226,6234,7344
"198","2021-07-17",493,2742,2905
"199","2021-07-18",200,1110,1139
"200","2021-07-19",6031,16379,31046
"201","2021-07-20",5550,24222,31599
"202","2021-07-21",3646,17522,21823
"203","2021-07-22",2383,10391,12084
"204","2021-07-23",1398,7907,8829
"205","2021-07-24",917,4638,5094
"206","2021-07-25",898,4214,5561
"207","2021-07-26",912,4053,5254
"208","2021-07-27",4283,11236,22247
"209","2021-07-28",5706,15620,30414
"210","2021-07-29",2835,9852,15483
"211","2021-07-30",1516,6500,8775
"212","2021-07-31",1333,5690,7602
"213","2021-08-01",503,2798,3517
"214","2021-08-02",1793,8673,12352
"215","2021-08-03",2170,10464,14739
"216","2021-08-04",1913,10252,12297
"217","2021-08-05",1201,7541,8623
"218","2021-08-06",1873,8006,11429
"219","2021-08-07",1318,7011,8342
"220","2021-08-08",802,3964,5450
"221","2021-08-09",616,3833,4705
"222","2021-08-10",932,4748,6297
