"","date","positive","negative","neutral"
"1","2021-01-01",1,19,17
"2","2021-01-02",2,8,13
"3","2021-01-03",4,21,26
"4","2021-01-04",13,40,56
"5","2021-01-05",0,33,91
"6","2021-01-06",40,34,74
"7","2021-01-07",21,53,89
"8","2021-01-08",23,47,79
"9","2021-01-09",4,31,45
"10","2021-01-10",0,6,36
"11","2021-01-11",2,6,35
"12","2021-01-12",8,16,47
"13","2021-01-13",1,28,72
"14","2021-01-14",22,10,47
"15","2021-01-15",1,5,22
"16","2021-01-16",1,2,29
"17","2021-01-17",0,8,37
"18","2021-01-18",2,6,14
"19","2021-01-19",7,52,41
"20","2021-01-20",10,39,35
"21","2021-01-21",2,27,9
"22","2021-01-22",0,5,27
"23","2021-01-23",2,19,28
"24","2021-01-24",1,25,36
"25","2021-01-25",2,20,33
"26","2021-01-26",1,29,146
"27","2021-01-27",1,20,74
"28","2021-01-28",0,18,34
"29","2021-01-29",5,21,67
"30","2021-01-30",8,14,49
"31","2021-01-31",4,21,59
"32","2021-02-01",2,26,50
"33","2021-02-02",1,5,42
"34","2021-02-03",13,11,82
"35","2021-02-04",6,14,84
"36","2021-02-05",14,24,80
"37","2021-02-06",4,11,28
"38","2021-02-07",3,6,26
"39","2021-02-08",8,5,21
"40","2021-02-09",2,13,48
"41","2021-02-10",164,184,709
"42","2021-02-11",44,91,218
"43","2021-02-12",5,30,62
"44","2021-02-13",8,16,18
"45","2021-02-14",2,18,52
"46","2021-02-15",1,23,24
"47","2021-02-16",19,8,30
"48","2021-02-17",5,46,94
"49","2021-02-18",11,34,112
"50","2021-02-19",3,39,66
"51","2021-02-20",11,37,139
"52","2021-02-21",8,136,243
"53","2021-02-22",12,73,227
"54","2021-02-23",38,102,426
"55","2021-02-24",29,51,233
"56","2021-02-25",51,44,184
"57","2021-02-26",18,28,145
"58","2021-02-27",31,15,99
"59","2021-02-28",26,19,50
"60","2021-03-01",13,7,45
"61","2021-03-02",25,10,73
"62","2021-03-03",10,23,107
"63","2021-03-04",4,15,173
"64","2021-03-05",8,14,56
"65","2021-03-06",6,58,114
"66","2021-03-07",2,22,55
"67","2021-03-08",5,19,39
"68","2021-03-09",15,7,78
"69","2021-03-10",3,20,76
"70","2021-03-11",0,2,62
"71","2021-03-12",14,22,91
