"period","AZ","MVC","Moderna","BNT"
1,121920,653603,54028,227
2,58081,2467,34398,1
3,1235170,57034,27258,8
4,160223,8393,15249,2
5,1183289,3286,80101,125996
6,175617,517897,477250,1549160
7,37699,6912,367525,60170
8,1028913,100588,340627,501226
9,901997,16376,170346,1167418
10,784717,13843,705394,1282315
11,670438,12475,359715,681681
12,687336,18517,162270,817762
13,1077532,14228,704207,652549
14,267560,9599,124968,1481438
15,102291,11544,118718,1018573
16,75210,14176,109395,497617
17,9737,8886,97485,332077
